Date;Open;High;Low;Close*;Adj Close**;Volume
Jun 19;2.8920;2.9380;2.8900;2.9270;2.9270;343200099
Jun 18;2.8720;2.8960;2.8600;2.8950;2.8950;330840064
Jun 17;2.8760;2.8820;2.8630;2.8810;2.8810;219333376
Jun 16;2.8670;2.8790;2.8620;2.8770;2.8770;232229908
Jun 15;2.8680;2.8760;2.8410;2.8470;2.8470;217522287
Jun 12;2.8470;2.8930;2.8410;2.8910;2.8910;207355786
Jun 11;2.9000;2.9100;2.8700;2.8780;2.8780;227138005
Jun 10;2.9230;2.9230;2.9040;2.9080;2.9080;145840148
Jun 09;2.9080;2.9260;2.9020;2.9230;2.9230;234882499
Jun 08;2.8970;2.9200;2.8970;2.9050;2.9050;266152097
Jun 05;2.8800;2.8950;2.8670;2.8920;2.8920;162544519
Jun 04;2.8970;2.8980;2.8730;2.8780;2.8780;190374093
Jun 03;2.8950;2.9190;2.8830;2.8840;2.8840;396536323
Jun 02;2.8590;2.8880;2.8570;2.8790;2.8790;259134405
Jun 01;2.8300;2.8690;2.8280;2.8640;2.8640;360043706
May 29;2.7800;2.8090;2.7800;2.8020;2.8020;248904504
May 28;2.7900;2.8260;2.7770;2.8010;2.8010;344819253
May 27;2.8030;2.8080;2.7840;2.7920;2.7920;244796971
May 26;2.7930;2.8030;2.7870;2.8020;2.8020;451492925
May 25;2.7700;2.7820;2.7560;2.7800;2.7800;275189275
May 22;2.8300;2.8320;2.7660;2.7680;2.7680;526393100
May 21;2.8540;2.8600;2.8360;2.8380;2.8380;266474698
May 20;2.8520;2.8590;2.8430;2.8490;2.8490;264967771
May 19;2.8550;2.8650;2.8470;2.8520;2.8520;261512471
May 18;2.8100;2.8420;2.8100;2.8330;2.8330;324552388
May 15;2.8350;2.8440;2.8100;2.8120;2.8120;360934663
May 14;2.8500;2.8500;2.8280;2.8310;2.8310;238101400
May 13;2.8520;2.8630;2.8390;2.8600;2.8600;129350769
May 12;2.8600;2.8720;2.8500;2.8600;2.8600;276043953
May 11;2.8650;2.8900;2.8560;2.8630;2.8630;317849095
May 08;2.8580;2.8760;2.8510;2.8630;2.8630;259022738
May 07;2.8450;2.8500;2.8330;2.8430;2.8430;217451585
May 06;2.8200;2.8530;2.8110;2.8480;2.8480;309426848
Apr 30;2.8380;2.8700;2.8330;2.8520;2.8520;262312238
Apr 29;2.8040;2.8370;2.8010;2.8290;2.8290;320438412
Apr 28;2.7970;2.8170;2.7680;2.8100;2.8100;315689970
Apr 27;2.7680;2.8040;2.7680;2.7900;2.7900;470276294
Apr 24;2.7750;2.7760;2.7590;2.7650;2.7650;256785600
Apr 23;2.7950;2.8070;2.7820;2.7870;2.7870;266170705
Apr 22;2.7630;2.7910;2.7550;2.7900;2.7900;343428312
Apr 21;2.7970;2.7980;2.7560;2.7710;2.7710;296662605
Apr 20;2.7970;2.8070;2.7840;2.8030;2.8030;289171883
Apr 17;2.7750;2.8110;2.7670;2.7930;2.7930;530009621
Apr 16;2.7420;2.7570;2.7400;2.7530;2.7530;234502641
Apr 15;2.7660;2.7750;2.7500;2.7510;2.7510;303144211
Apr 14;2.7430;2.7710;2.7340;2.7710;2.7710;342569895
Apr 13;2.7310;2.7350;2.7190;2.7260;2.7260;268395656
Apr 10;2.7390;2.7730;2.7310;2.7380;2.7380;425705171
Apr 09;2.7400;2.7460;2.7350;2.7390;2.7390;251002425
Apr 08;2.7300;2.7410;2.7230;2.7300;2.7300;261926302
Apr 07;2.7400;2.7500;2.7310;2.7430;2.7430;424902768
Apr 03;2.6980;2.7080;2.6850;2.6940;2.6940;330872317
Apr 02;2.6560;2.7080;2.6520;2.7060;2.7060;364541550
Apr 01;2.6710;2.7100;2.6660;2.6710;2.6710;478444952
Mar 31;2.7000;2.7070;2.6700;2.6750;2.6750;457193375
Mar 30;2.6590;2.6850;2.6520;2.6800;2.6800;458744289
Mar 27;2.7090;2.7250;2.6900;2.6920;2.6920;519413847
Mar 26;2.6670;2.7060;2.6620;2.6770;2.6770;446033246
Mar 25;2.6870;2.6980;2.6680;2.6870;2.6870;1196416027
Mar 24;2.6000;2.6310;2.5820;2.6270;2.6270;1016356174
Mar 23;2.5410;2.5800;2.5360;2.5530;2.5530;763646843
Mar 20;2.5840;2.6290;2.5720;2.6240;2.6240;1075398984
Mar 19;2.6090;2.6380;2.5050;2.5640;2.5640;1166555611
Mar 18;2.6870;2.7130;2.6150;2.6180;2.6180;766396589
Mar 17;2.7000;2.7290;2.6230;2.6750;2.6750;888395013
Mar 16;2.7850;2.7850;2.6810;2.6870;2.6870;728598617
Mar 13;2.7240;2.8180;2.7010;2.7960;2.7960;859776185
Mar 12;2.8450;2.8560;2.8160;2.8360;2.8360;601465453
Mar 11;2.9110;2.9160;2.8730;2.8740;2.8740;546955787
Mar 10;2.8600;2.9260;2.8410;2.9110;2.9110;955126963
Mar 09;2.9040;2.9070;2.8560;2.8610;2.8610;786540298
Mar 06;2.9840;2.9890;2.9500;2.9510;2.9510;493335273
Mar 05;2.9550;3.0140;2.9460;3.0040;3.0040;792807008
Mar 04;2.9050;2.9400;2.9030;2.9390;2.9390;394532331
Mar 03;2.9300;2.9410;2.9000;2.9070;2.9070;564810949
Mar 02;2.8290;2.9150;2.8290;2.8990;2.8990;570019408
Feb 28;2.8500;2.8760;2.8060;2.8140;2.8140;695878639
Feb 27;2.8940;2.9140;2.8920;2.8980;2.8980;381077635
Feb 26;2.8680;2.9190;2.8610;2.8940;2.8940;713226475
Feb 25;2.8950;2.9050;2.8620;2.8990;2.8990;658357515
Feb 24;2.9410;2.9460;2.9090;2.9240;2.9240;438213959
Feb 21;2.9550;2.9830;2.9490;2.9580;2.9580;366806228
Feb 20;2.9180;2.9700;2.9060;2.9670;2.9670;684324337
Feb 19;2.9090;2.9310;2.9050;2.9130;2.9130;356549566
Feb 18;2.9310;2.9330;2.9030;2.9130;2.9130;360176674
Feb 17;2.8880;2.9410;2.8860;2.9390;2.9390;437866984
Feb 14;2.8610;2.8900;2.8610;2.8850;2.8850;329803160
Feb 13;2.8830;2.8980;2.8620;2.8690;2.8690;244340724
Feb 12;2.8670;2.8870;2.8520;2.8830;2.8830;266144903
Feb 11;2.8480;2.8830;2.8430;2.8700;2.8700;362941829
Feb 10;2.8170;2.8440;2.8100;2.8390;2.8390;467001796
Feb 07;2.8260;2.8420;2.8110;2.8410;2.8410;382974745
Feb 06;2.8130;2.8600;2.8000;2.8420;2.8420;479625871
Feb 05;2.7900;2.8230;2.7700;2.8010;2.8010;674451001
Feb 04;2.7150;2.7870;2.7100;2.7850;2.7850;817873004
Feb 03;2.6950;2.7540;2.6670;2.7070;2.7070;1562732580
Jan 23;2.9820;2.9880;2.9040;2.9250;2.9250;767631284
Jan 22;3.0000;3.0130;2.9560;3.0060;3.0060;737727346
Jan 21;3.0400;3.0430;3.0040;3.0070;3.0070;574211412
Jan 20;3.0560;3.0600;3.0450;3.0580;3.0580;459768122
